Category,Food Name,Calorie (kcal),Carbs (g),Protein (g),Fat (g),Water (g),Ash (g)
水果類,"桑葚",31.9989,6.9727,1.137,0.3676,91.046,0.4767
水果類,"桑葚汁",25.1552,5.8665,0.815,0.155,92.747,0.4165
水果類,"草莓",38.6848,9.2799,0.963,0.2439,88.9717,0.5415
水果類,"土芭樂",39.1794,9.96,0.74,0.1,88.8,0.4
水果類,"芭樂平均值(白肉)",39.9848,10.2344,0.6901,0.0982,88.6011,0.3762
水果類,"番石榴(珍珠拔)(有機)",39.8257,10.3856,0.576,0.06,88.61,0.3684
水果類,"世紀芭樂",39.7046,10.2531,0.662,0.068,88.6667,0.3502
水果類,"珍珠芭樂",41.9639,10.5989,0.7225,0.1649,88.1277,0.386
水果類,"泰國芭樂",38.445,9.7,0.8,0.1,89,0.4
水果類,"無子芭樂",33.4051,8.5848,0.74,0.0016,90.399,0.2746
水果類,"紅心芭樂",42.0341,10.7164,0.757,0.1089,88.027,0.3907
水果類,"楊桃平均值",32.0281,8.2414,0.5262,0.0706,90.8332,0.3286
水果類,"楊桃(2月取樣)",29.3672,7.5781,0.438,0.0734,91.6,0.3105
水果類,"楊桃(4月取樣)",32.095,8.1398,0.651,0.0722,90.653,0.484
水果類,"楊桃(5月取樣)",34.4451,8.6792,0.636,0.127,90.246,0.3118
水果類,"楊桃(9月取樣)",33.4224,8.7635,0.468,0.036,90.492,0.2405
水果類,"楊桃(11月取樣)",30.8111,8.0466,0.438,0.0444,91.175,0.296
水果類,"美國紅葡萄",68.6178,17.7089,0.443,0.4035,81.0665,0.3781
水果類,"巨峰葡萄",63.5451,16.5539,0.52,0.2633,82.3543,0.3085
水果類,"綠葡萄平均值",57.9343,15.2524,0.5188,0.1533,83.7315,0.3441
水果類,"美國綠葡萄",63.9579,16.8136,0.5385,0.1935,82.003,0.4514
水果類,"意大利葡萄",51.9108,13.6912,0.499,0.113,85.46,0.2368
水果類,"美國紅葡萄(含皮)",61.3069,16.2833,0.4385,0.145,82.7151,0.4181
水果類,"美國紫葡萄(含皮)",80.4128,21.9225,0.444,0,77.2799,0.3536
水果類,"美國黑葡萄(含皮)",62.6744,16.4455,0.592,0.177,82.377,0.4085
水果類,"美國綠葡萄(含皮)",86.9466,22.6912,0.581,0.395,75.498,0.8348
水果類,"無子紅葡萄(含皮)",71.6646,19.2264,0.46,0.108,79.859,0.3466
水果類,"黑美人葡萄(含皮)",65.5083,17.3899,0.5135,0.1409,81.5695,0.3862
水果類,"金香葡萄(含皮)",60.1749,15.9831,0.63,0.062,82.98,0.3449
水果類,"葡萄乾",306.1048,78.6796,3.19,1.4504,14.53,2.15
水果類,"蓮霧平均值(粉紅色種)",39.4115,9.9671,0.3857,0.2669,89.1243,0.256
水果類,"蓮霧(紅寶石)",32.9007,8.0566,0.339,0.3295,91.074,0.2009
水果類,"蓮霧(黑金剛)",33.8464,8.8178,0.473,0.0613,90.329,0.3189
水果類,"蓮霧(黑珍珠)",51.4874,13.0268,0.345,0.41,85.97,0.2482
水果類,"華寶大西瓜(花蓮)",33.1023,8.4475,0.654,0.059,90.639,0.2005
水果類,"西瓜平均值(紅肉小瓜)",32.5907,8.0445,0.7784,0.1213,90.8049,0.2509
水果類,"皇宮西瓜",32.3959,8.0912,0.69,0.1134,90.859,0.2464
水果類,"紅鈴西瓜",34.0299,8.51,0.8387,0.0688,90.3677,0.2148
水果類,"黑美人西瓜",36.465,9.0829,0.912,0.0839,89.68,0.2412
水果類,"鳳光西瓜",27.4719,6.494,0.673,0.2189,92.313,0.3011
水果類,"無籽西瓜",32.8436,8.2017,0.875,0.0451,90.522,0.3562
水果類,"西瓜平均值(黃肉小瓜)",29.0044,7.3347,0.679,0.038,91.6968,0.2516
水果類,"小玉西瓜",34.368,8.6689,0.791,0.06,90.2085,0.2716
水果類,"金蘭西瓜",23.6408,6.0005,0.567,0.016,93.185,0.2315
水果類,"嘉寶瓜",40.2228,9.98,0.78,0.2,88.74,0.3
水果類,"甜瓜平均值(光皮洋香瓜)",29.5857,7.1894,0.8727,0.0922,91.3988,0.4469
水果類,"太陽洋香瓜",32.3771,7.8275,1.163,0.0347,90.509,0.4658
水果類,"狀元瓜",27.3527,6.6442,0.7327,0.1161,92.0393,0.4677
水果類,"蜜世界洋香瓜",29.0271,7.0965,0.7225,0.1257,91.648,0.4073
水果類,"甜瓜平均值(東洋系脆瓜)",36.7097,8.9142,0.9829,0.1572,89.2955,0.6501
水果類,"美濃瓜",36.8136,8.7946,1.0678,0.187,89.2735,0.6771
水果類,"黃香瓜",30.4992,7.54,0.6,0.16,91,0.7
水果類,"嘉玉甜瓜",42.8162,10.4081,1.281,0.1246,87.613,0.5733
水果類,"洋香瓜(新世紀)",38.9086,10.0789,0.674,0.043,88.657,0.5471
水果類,"新疆哈密瓜",27.7775,6.865,0.7,0.085,91.8,0.55
水果類,"洋香瓜(卡蜜拉)",37.6079,9.4757,0.567,0.19,89.34,0.4273
水果類,"甜瓜平均值(網紋洋香瓜)",36.9446,9.3148,0.9182,0.039,89.2673,0.4607
水果類,"七股香洋香瓜",40.2804,10.4749,0.588,0.0711,88.376,0.49
水果類,"天香洋香瓜",44.4526,11.5766,0.811,0.0062,87.149,0.4572
水果類,"秋香洋香瓜",34.0753,8.3917,1.04,0.0443,90.046,0.478
水果類,"紅寶石洋香瓜",38.8355,9.5729,1.232,0.0279,88.563,0.6042
水果類,"香華洋香瓜",30.4513,7.6692,0.743,0.0413,91.249,0.2975
水果類,"藍寶石洋香瓜",33.5724,8.2037,1.095,0.043,90.221,0.4373
水果類,"土芒果",54.3278,13.8239,0.6487,0.2846,84.8697,0.3731
水果類,"芒果平均值(西洋種)",50.3479,12.9509,0.5779,0.213,86.0097,0.2485
水果類,"肯特芒果",49.3645,12.6627,0.538,0.2355,86.308,0.2558
水果類,"海頓芒果",59.9496,15.74,0.38,0.24,83.3,0.34
水果類,"凱特芒果",50.1086,12.4777,1.145,0.1603,85.961,0.256
水果類,"愛文芒果",42.3591,11.0064,0.3567,0.1837,88.2203,0.2329
水果類,"聖心芒果",49.9574,12.8676,0.47,0.2455,86.259,0.1579
水果類,"黑香芒果",65.9523,16.871,0.813,0.2969,81.555,0.4641
水果類,"芒果平均值(新興種)",55.8473,14.4176,0.5786,0.239,84.4512,0.3137
水果類,"四季芒果",60.0964,15.6476,0.577,0.2182,83.2025,0.3547
水果類,"玉文芒果",61.9019,16.0712,0.519,0.275,82.899,0.2358
水果類,"金煌芒果",51.637,13.0084,0.8265,0.2425,85.6185,0.3041
水果類,"金蜜芒果",63.8271,16.3012,0.583,0.3804,82.291,0.4444
水果類,"金興芒果",40.9565,10.6033,0.552,0.1111,88.46,0.2736
水果類,"香水芒果",65.2215,17.0866,0.5715,0.2138,81.8485,0.2796
水果類,"蓮花芒果",47.2908,12.2047,0.421,0.2317,86.839,0.3036
水果類,"芒果乾",333.9183,89.9751,0.55,0.9749,7.6,0.9
水果類,"荔枝平均值",64.9699,16.5319,1.0357,0.236,81.8044,0.3921
水果類,"玉荷苞荔枝",68.2581,17.3064,1.168,0.2426,80.87,0.413
水果類,"黑葉仔荔枝",61.6818,15.7574,0.9033,0.2294,82.7387,0.3712
水果類,"冷凍荔枝",28.1127,7.18,0.4,0.11,91.9,0.41
水果類,"龍眼",71.8698,18.0294,1.1275,0.3794,79.718,0.7457
水果類,"龍眼乾",276.0909,70.9074,5.065,0.4547,18.2395,5.3334
水果類,"帶殼龍眼乾",278.4911,72.8965,4.604,0.071,19.662,2.7665
水果類,"李子平均值(青皮黃肉)",47.5354,11.7093,0.667,0.3753,86.864,0.3845
水果類,"加州青李",47.176,11.9872,0.649,0.22,86.771,0.3728
水果類,"翡翠李",47.8949,11.4314,0.685,0.5305,86.957,0.3961
水果類,"李子平均值(紅皮紅肉)",39.4575,9.6089,0.6053,0.3384,89.045,0.4026
水果類,"紅肉李(大)",40.5805,10.0037,0.5315,0.3323,88.866,0.2665
水果類,"紅肉李(小)",38.3345,9.214,0.679,0.3444,89.224,0.5386
水果類,"李子平均值(紅皮黃肉)",47.6233,11.8859,0.7072,0.2937,86.729,0.3842
水果類,"加州紅李(台灣)",44.6365,10.5853,0.348,0.6404,88.153,0.2733
水果類,"加州紅李(進口)",60.0724,15.3065,0.818,0.2653,83.034,0.5762
水果類,"加州蜜李(進口)",66.2079,17.1014,1.254,0.0513,81.119,0.4743
水果類,"香水李",36.1779,8.7576,0.709,0.271,89.871,0.3914
水果類,"桃接李(大)",37.5626,9.231,0.5845,0.2828,89.614,0.2877
水果類,"桃接李(小)",35.8162,8.5987,0.66,0.3158,90.149,0.2765
水果類,"蜜棗李(進口)",52.89,13.6207,0.577,0.229,85.163,0.4103
水果類,"黃肉李",35.4499,8.9241,0.436,0.222,90.138,0.2799
水果類,"黑李",56.8927,14.7397,0.7435,0.1591,83.89,0.4677
水果類,"枇杷",37.9522,9.7937,0.327,0.1907,89.1275,0.5611
水果類,"筆柿",69.216,18.3445,0.574,0.149,80.621,0.3115
水果類,"甜柿平均值",57.1428,15.1904,0.4813,0.1004,83.9565,0.2715
水果類,"富有甜柿(大雪山)",56.7934,15.122,0.391,0.1243,84.167,0.1957
水果類,"甜柿(進口)",57.4922,15.2588,0.5715,0.0765,83.746,0.3472
水果類,"國產甜柿",47.4084,12.6902,0.374,0.0558,86.63,0.25
水果類,"牛心柿",62.3047,16.4829,0.4805,0.1615,82.5575,0.3176
水果類,"四周柿",65.6456,17.5623,0.474,0.099,81.436,0.4287
水果類,"柿餅",195.6143,52.2366,1.7097,0.2172,44.547,1.2895
水果類,"水蜜桃平均值",39.4356,9.7287,0.9065,0.1633,88.7517,0.4499
水果類,"水蜜桃",39.7262,9.8665,0.906,0.1389,88.5953,0.4933
水果類,"甜蜜桃",39.145,9.5909,0.907,0.1876,88.908,0.4065
水果類,"脆桃平均值",44.3199,11.1215,0.9194,0.1426,87.3228,0.4938
水果類,"白油桃",36.7819,9.3339,0.635,0.125,89.62,0.2861
水果類,"玫瑰桃",50.949,12.8,1.2,0.1,85.3,0.6
水果類,"福壽桃",47.2326,11.9003,0.888,0.1682,86.447,0.5965
水果類,"鶯哥桃",42.316,10.4516,0.9545,0.1772,87.924,0.4927
水果類,"蟠桃",45.2668,11.2681,0.854,0.2189,87.267,0.392
水果類,"青梅(胭脂梅)",34.6328,8.8015,0.514,0.1458,90.043,0.4957
水果類,"西洋梨平均值",52.7872,14.0568,0.2543,0.1587,85.2623,0.2679
水果類,"西洋梨(青皮)",61.8717,16.4842,0.2755,0.1915,82.75,0.2988
水果類,"西洋梨(紅皮)",52.8339,13.9237,0.2815,0.2106,85.308,0.2762
